# Constructed from biom file
#OTU ID	02.1.3.0day.ITS.b	02.1.3.1day.16S.b	02.2.5.0day.16S.b	02.2.5.0day.ITS.b	02.2.5.1day.16S.b	02.4.5.0day.ITS.b	02.4.5.1day.ITS.b	04.1.2.5.1day.ITS.b	04.1.3.1day.ITS.b	04.3.3.0day.ITS.b	04.3.3.1day.16S.b	04.3.3.1day.ITS.b	04.3.5.1day.16S.b	04.3.5.1day.ITS.b	04.4.3.1day.16S.b	ITSMOCK.b	ITSNEG.Cacao.b	02.1.3.0.16S.a	02.1.3.0.ITS.a	02.1.3.1.16S.a	02.1.3.1.ITS.a	02.2.3.0.16S.a	02.2.3.0.ITS.a	02.2.3.1.16S.a	02.2.3.1.ITS.a	02.2.3.6.16S.a	02.2.3.6.16S.ITS.a	02.2.5.0.ITS.a	02.2.5.1.16S.a	02.2.5.1.ITS.a	02.2.5.3.ITS.a	02.3.3.0.16S.a	02.3.3.0.ITS.a	02.3.3.1.16S.a	02.3.3.1.ITS.a	02.3.3.3.16S.a	02.3.3.3.ITS.a	02.3.5.0.16S.a	02.3.5.0.ITS.a	02.3.5.1.16S.a	02.3.5.1.ITS.a	02.3.5.3.16S.a	02.3.5.3.ITS.a	02.3.5.6.16S.a	02.4.5.0.ITS.a	02.4.5.1.16S.a	02.4.5.3.16S.a	04.1.2.5.0.16S.a	04.1.2.5.0.ITS.a	04.1.2.5.1.16S.a	04.1.2.5.1.ITS.a	04.1.2.5.3.16S.a	04.1.2.5.6.16S.a	04.1.3.0.16S.a	04.1.3.1.16S.a	04.1.3.3.16S.a	04.1.3.6.16S.a	04.3.3.0.16S.a	04.3.3.1.16S.a	04.3.3.1.ITS.a	04.3.5.0.16S.a	04.3.5.0.ITS.a	04.3.5.3.16S.a	04.4.3.0.16S.a	04.4.3.0.ITS.a	04.4.3.1.16S.a	04.4.3.1.ITS.a	04.4.3.6.ITS.a	04.4.5.0.16S.a	04.4.5.0.ITS.a	04.4.5.1.16S.a	04.4.5.1.ITS.a	04.4.5.3.16S.a	04.4.5.6.16S.a	16SMOCK.16S.a	16SNEG.16S.a	ITSMOCK.ITS.a	ITSNEG.ITS.a	MOCK.16S.ITS.a	taxonomy
341248fc96d04f8e5ae4a54572c3032a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Wilcoxina; s__Wilcoxina_mikolae
27a0f43e1273bc845285b55a0b9ad786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola_olivacea
63ef99f3e19f492295e69eb8314009ba	39.0	0.0	0.0	83.0	0.0	22.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	3.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Exidiaceae; g__Eichleriella; s__Eichleriella_tenuicula
3e439c358312139a74b7d2d499c1ba01	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	17.0	0.0	130.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__Diaporthaceae; g__Diaporthe; s__Diaporthe_inconspicua
e51689023348363e635a04bcc9210c37	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Rhynchogastremataceae; g__Papiliotrema; s__Papiliotrema_mangalensis
02c6da3804bbee6133ca44955407ac20	2.0	0.0	0.0	3.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__unidentified; s__unidentified
5156b399c233314f7ffef922a346a513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_phoeniceum
66f2849d3d67b11c8fd7b7969f838fd4	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota
6749358ec08e14e0dcb1e71c24d9533b	7.0	0.0	0.0	384.0	0.0	195.0	12.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	583.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_mesophila
969ed5bf99814769c2d1cd5147563373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Bartaliniaceae; g__Hyalotiella; s__Hyalotiella_spartii
